,Distance class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
0,"(0.0, 1.0]",1568124.22256125,2087036.1677533588,1999000.0,0.21784486336945297,0.21996038732394366
1,"(1.0, 2.0]",1343231.00081091,1787722.9622542944,1420000.0,0.18660254693810577,0.15625
2,"(2.0, 3.0]",436766.02481775,581297.3726989928,948000.0,0.06067582761105232,0.10431338028169014
3,"(3.0, 4.0]",505682.59652573,673019.3011296368,820000.0,0.07024976373908098,0.09022887323943662
4,"(4.0, 5.0]",550622.91193544,732830.9297626769,377000.0,0.07649290234337992,0.04148327464788732
5,"(5.0, 6.0]",170242.49109035,226577.86359148694,358000.0,0.023650200460954892,0.03939260563380282
6,"(6.0, 7.0]",196827.73444897,261960.49694392693,395000.0,0.027343440208022204,0.043463908450704226
7,"(7.0, 8.0]",207165.51385838998,275719.17703527585,317000.0,0.028779571421728187,0.034881161971830985
8,"(8.0, 9.0]",218009.23047224001,290151.21528860304,244000.0,0.03028598776947321,0.026848591549295774
9,"(9.0, 10.0]",221292.78470122,294521.33873677463,215000.0,0.030742141313999174,0.02365757042253521
10,"(10.0, 11.0]",176238.33582569,234557.80844461184,221000.0,0.024483147212470035,0.024317781690140844
11,"(11.0, 12.0]",116652.47180442,155254.2357365085,123000.0,0.01620543922243396,0.013534330985915492
12,"(12.0, 13.0]",111301.06350678,148131.97940955232,139000.0,0.015462018010860902,0.015294894366197184
13,"(13.0, 14.0]",157228.8404213,209257.83292678988,96000.0,0.021842335426317146,0.01056338028169014
14,"(14.0, 15.0]",140912.16259069002,187541.7620440621,111000.0,0.019575611654365603,0.012213908450704225
15,"(15.0, 16.0]",61540.96776089,81905.6447618289,114000.0,0.00854931230613737,0.012544014084507043
16,"(16.0, 17.0]",53622.49599277,71366.85151086576,56000.0,0.0074492729243060656,0.006161971830985915
17,"(17.0, 18.0]",39324.88778134,52337.98567210961,90000.0,0.005463039651127175,0.009903169014084508
18,"(18.0, 19.0]",76603.85977636,101953.03640016659,94000.0,0.010641859316028813,0.01034330985915493
19,"(19.0, 20.0]",80462.02616009,107087.91836181562,73000.0,0.011177838364517396,0.008032570422535211
20,"(20.0, 21.0]",22116.77500383,29435.49285378998,26000.0,0.003072477141519373,0.0028609154929577466
21,"(21.0, 22.0]",91815.59272927,122198.52230629907,37000.0,0.012755083408267366,0.004071302816901408
22,"(22.0, 23.0]",39126.82987782,52074.38792774181,30000.0,0.005435525315010942,0.003301056338028169
23,"(23.0, 24.0]",24977.85768928,33243.343633439436,44000.0,0.003469940657313141,0.0048415492957746475
24,"(24.0, 25.0]",115160.2305094,153268.19310741432,14000.0,0.015998136065993374,0.0015404929577464788
25,"(25.0, 26.0]",51225.60091601,68176.79383333206,17000.0,0.007116294660852641,0.0018705985915492957
26,"(26.0, 27.0]",7363.37237939,9800.004522169025,40000.0,0.0010229246043445797,0.0044014084507042256
27,"(27.0, 28.0]",22172.53241348,29509.701088625945,28000.0,0.0030802229980735176,0.0030809859154929575
28,"(28.0, 29.0]",36152.27970011,48115.52184152174,20000.0,0.005022298819478311,0.0022007042253521128
29,"(29.0, 30.0]",55452.54280388,73802.48373216389,14000.0,0.0077035042484513,0.0015404929577464788
30,"(30.0, 31.0]",37850.26470831,50375.39135532103,21000.0,0.005258184029841651,0.0023107394366197183
31,"(31.0, 32.0]",7487.366463830001,9965.029802112136,0.0,0.0010401499452932284,0.0
32,"(32.0, 33.0]",14760.43504176,19644.84786390954,9000.0,0.0020505294852814493,0.0009903169014084507
33,"(33.0, 34.0]",2042.73802204,2718.7056177725212,6000.0,0.00028377852909131307,0.0006602112676056338
34,"(34.0, 35.0]",13702.49931598,18236.827956369965,4000.0,0.0019035603483212522,0.00044014084507042255
35,"(35.0, 36.0]",10725.98648299,14275.349747656493,7000.0,0.0014900611994074912,0.0007702464788732394
36,"(36.0, 37.0]",9058.54177284,12056.126699033419,7000.0,0.0012584186676280577,0.0007702464788732394
37,"(37.0, 38.0]",13512.36841804,17983.780363010246,5000.0,0.0018771472371096926,0.0005501760563380282
38,"(38.0, 39.0]",0.0,0.0,5000.0,0.0,0.0005501760563380282
39,"(39.0, 40.0]",14346.069829510001,19093.36401321558,0.0,0.0019929655934998276,0.0
40,"(40.0, 41.0]",180.25102639,239.8983485735304,2000.0,2.5040592863235024e-05,0.00022007042253521127
41,"(41.0, 42.0]",7467.66652,9938.81090013716,4000.0,0.0010374132159510702,0.00044014084507042255
42,"(42.0, 43.0]",152.57866199,203.06885221148778,4000.0,2.1196329535689716e-05,0.00044014084507042255
43,"(43.0, 44.0]",4535.9451978199995,6036.946274151275,1000.0,0.0006301365336073228,0.00011003521126760564
44,"(44.0, 45.0]",16499.89524348,21959.917232219992,0.0,0.0022921764572039777,0.0
45,"(45.0, 46.0]",364.74153501,485.4390771442948,5000.0,5.0670137426765274e-05,0.0005501760563380282
46,"(46.0, 47.0]",1570.00050521,2089.533335830052,11000.0,0.0002181055178070152,0.0012103873239436619
47,"(47.0, 48.0]",4182.0363228,5565.924519861147,9000.0,0.0005809712765347396,0.0009903169014084507
48,"(48.0, 49.0]",5916.3042083,7874.083369483322,12000.0,0.0008218969284232786,0.0013204225352112676
49,"(49.0, 50.0]",5254.94877121,6993.8771351247115,8000.0,0.0007300209897963,0.0008802816901408451
50,"(50.0, 51.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
51,"(51.0, 52.0]",4058.4110487,5401.390094218701,2000.0,0.0005637971709646218,0.00022007042253521127
52,"(52.0, 53.0]",1450.31909882,1930.2478531177526,8000.0,0.0002014792969708179,0.0008802816901408451
53,"(53.0, 54.0]",0.0,0.0,5000.0,0.0,0.0005501760563380282
54,"(54.0, 55.0]",1078.3646194,1435.2089779197827,3000.0,0.00014980713249359266,0.0003301056338028169
55,"(55.0, 56.0]",0.0,0.0,0.0,0.0,0.0
56,"(56.0, 57.0]",0.0,0.0,7000.0,0.0,0.0007702464788732394
57,"(57.0, 58.0]",0.0,0.0,6000.0,0.0,0.0006602112676056338
58,"(58.0, 59.0]",2000.5884136,2662.6081759976323,5000.0,0.0002779230773614173,0.0005501760563380282
59,"(59.0, 60.0]",0.0,0.0,0.0,0.0,0.0
60,"(60.0, 61.0]",4981.38935286,6629.793479052162,0.0,0.0006920179328595559,0.0
61,"(61.0, 62.0]",0.0,0.0,8000.0,0.0,0.0008802816901408451
62,"(62.0, 63.0]",0.0,0.0,10000.0,0.0,0.0011003521126760564
63,"(63.0, 64.0]",0.0,0.0,0.0,0.0,0.0
64,"(64.0, 65.0]",0.0,0.0,0.0,0.0,0.0
65,"(65.0, 66.0]",0.0,0.0,9000.0,0.0,0.0009903169014084507
66,"(66.0, 67.0]",4740.7136784,6309.475209574738,0.0,0.000658583107566535,0.0
67,"(67.0, 68.0]",2866.95192008,3815.6622175276602,1000.0,0.00039827887378496497,0.00011003521126760564
68,"(68.0, 69.0]",0.0,0.0,4000.0,0.0,0.00044014084507042255
69,"(69.0, 70.0]",4218.1882665,5614.039594515914,3000.0,0.0005859935286768584,0.0003301056338028169
70,"(70.0, 71.0]",1989.4323829,2647.7604750154755,8000.0,0.0002763732741324247,0.0008802816901408451
71,"(71.0, 72.0]",0.0,0.0,0.0,0.0,0.0
72,"(72.0, 73.0]",0.0,0.0,4000.0,0.0,0.00044014084507042255
73,"(73.0, 74.0]",18804.9662026,25027.765041536935,1000.0,0.002612398452962848,0.00011003521126760564
74,"(74.0, 75.0]",4667.737657,6212.350508706471,0.0,0.0006484452299785186,0.0
75,"(75.0, 76.0]",5104.7033201,6793.913582495678,0.0,0.0007091487914729549,0.0
76,"(76.0, 77.0]",0.0,0.0,1000.0,0.0,0.00011003521126760564
77,"(77.0, 78.0]",0.0,0.0,0.0,0.0,0.0
78,"(78.0, 79.0]",363.65250672,483.98967575361655,0.0,5.051884889003632e-05,0.0
79,"(79.0, 80.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
80,"(80.0, 81.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
81,"(81.0, 82.0]",7125.572241100001,9483.51333979486,0.0,0.0009898892504550708,0.0
82,"(82.0, 83.0]",0.0,0.0,0.0,0.0,0.0
83,"(83.0, 84.0]",0.0,0.0,0.0,0.0,0.0
84,"(84.0, 85.0]",10086.76421113,13424.600820108963,0.0,0.0014012600148631882,0.0
85,"(85.0, 86.0]",5440.99515602,7241.488598803293,1000.0,0.0007558666777183435,0.00011003521126760564
86,"(86.0, 87.0]",0.0,0.0,4000.0,0.0,0.00044014084507042255
87,"(87.0, 88.0]",0.0,0.0,0.0,0.0,0.0
88,"(88.0, 89.0]",0.0,0.0,0.0,0.0,0.0
89,"(89.0, 90.0]",380.62087482,506.5730893779597,0.0,5.2876105909068624e-05,0.0
90,"(90.0, 91.0]",16454.1134418,21898.985658970643,0.0,0.0022858164187655066,0.0
91,"(91.0, 92.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
92,"(92.0, 93.0]",0.0,0.0,2000.0,0.0,0.00022007042253521127
93,"(93.0, 94.0]",0.0,0.0,0.0,0.0,0.0
94,"(94.0, 95.0]",0.0,0.0,0.0,0.0,0.0
95,"(95.0, 96.0]",0.0,0.0,0.0,0.0,0.0
96,"(96.0, 97.0]",0.0,0.0,1000.0,0.0,0.00011003521126760564
97,"(97.0, 98.0]",0.0,0.0,0.0,0.0,0.0
98,"(98.0, 99.0]",0.0,0.0,3000.0,0.0,0.0003301056338028169
99,"(99.0, inf]",35513.62596495,47265.52958658887,21000.0,0.004933576616431744,0.0023107394366197183
